hand,sb_15_rfi,bn_15_rfi,co_15_rfi,hj_15_rfi,lj_15_rfi,utg2_15_rfi,utg1_15_rfi,utg0_15_rfi,hand,sb_25_rfi,bn_25_rfi,co_25_rfi,hj_25_rfi,lj_25_rfi,utg2_25_rfi,utg1_25_rfi,utg0_25_rfi
AA,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,AA,Raise 3.3x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
AKs,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,AKs,Raise 3.3x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
AQs,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,AQs,>90% Raise 3.3x <10% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
AJs,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,AJs,90% Raise 3.3x 10% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
ATs,10% All-in 90% limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,ATs,Raise 3.3x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
A9s,60% All-in 40% limp,60% All-in 40% Raise 2x,Raise 2x,Raise 2x,60% All-in 40% Raise 2x,Raise 2x,Raise 2x,Raise 2x,A9s,80% Raise 3.3x 20% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
A8s,60% All-in 40% limp,50% All-in 50% Raise 2x,Raise 2x,Raise 2x,40% All-in 60% Raise 2x,Raise 2x,Raise 2x,Raise 2x,A8s,80% Raise 3.3x 20% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
A7s,50% All-in 50% limp,60% All-in 40% Raise 2x,Raise 2x,50% All-in 50% Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,A7s,80% Raise 3.3x 20% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
A6s,Limp,80% All-in 20% Raise 2x,All-in,Raise 2x,Raise 2x,Raise 2x,Raise 2x,70% Raise 2x 30% Fold,A6s,60% Raise 3.3x 40% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
A5s,Limp,80% All-in 20% Raise 2x,All-in,All-in,Raise 2x,Raise 2x,Raise 2x,60% Raise 2x 40% Fold,A5s,40% Raise 3.3x 60% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
A4s,Limp,All-in,All-in,90% All-in 10% Raise 2x,Raise 2x,30% Raise 2x 70% Fold,Fold,Fold,A4s,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
A3s,Limp,All-in,All-in,30% All-in 70% Raise 2x,30% Raise 2x 70% Fold,Fold,Fold,Fold,A3s,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Fold
A2s,20% All-in 80% limp,All-in,All-in,70% Raise 2x 30% Fold,Fold,Fold,Fold,Fold,A2s,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,70% Raise 2x 30% Fold,Fold,Fold
AKo,90% All-in 10% limp,10% All-in 90% Raise 2x,Raise 2x,Raise 2x,10% All-in 90% Raise 2x,30% All-in 70% Raise 2x,<10% All-in >90% Raise 2x,Raise 2x,AKo,70% Raise 3.3x 30% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
KK,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,KK,Raise 3.3x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x
